filename,column,MAE,MSE,RMSE,MAPE
00001.csv,Voltage_measured,0.0007843299149681547,6.320968625722715e-05,0.007950451953016706,0.024433714619482426
00001.csv,Current_measured,0.0026980166497613083,0.0007956796487381702,0.028207794113297307,184.6542039372367
00001.csv,Temperature_measured,0.00914408657691219,0.00022104371404406596,0.01486753893702875,0.11367087736519162
00001.csv,Current_load,0.0021885638869044654,0.000804454947606031,0.028362915005443835,883.0763457736507
00001.csv,Voltage_load,0.0071982266771740125,0.013174412362282622,0.11477984301384378,
00001.csv,Time,0.01629250429005854,0.009997346004710968,0.09998672914297661,
00005.csv,Voltage_measured,0.0008676769802305808,6.469419125969858e-05,0.008043269935772302,0.028052125725132625
00005.csv,Current_measured,0.003079829571032948,0.0007285025939233679,0.026990787204588307,49.81061949902663
00005.csv,Temperature_measured,0.0077260648961474465,0.0001823889878199185,0.0135051467159716,0.09328078034313751
00005.csv,Current_load,0.0026507943733012898,0.0007399420813806045,0.027201876431242836,694.5411737671287
00005.csv,Voltage_load,0.007247440489386772,0.010203057650600105,0.10101018587548537,
00005.csv,Time,0.016820803224023868,0.008700303760147349,0.09327541884198295,
00007.csv,Voltage_measured,0.0008614685971165568,6.099448851561007e-05,0.00780989683130386,0.02782003672013334
00007.csv,Current_measured,0.0031691561961245803,0.0007360626897604173,0.02713047529551256,107.68185115394984
00007.csv,Temperature_measured,0.007522915142548937,0.00015836117450224957,0.012584163639362354,0.09823841354519697
00007.csv,Current_load,0.0026663128045276586,0.0007413357129573877,0.027227480841190352,589.7454222613238
00007.csv,Voltage_load,0.007262511905605314,0.010055043258586903,0.10027483861162233,
00007.csv,Time,0.015936745224010816,0.008417716923512843,0.0917481167300607,
00009.csv,Voltage_measured,0.0009835801602488487,9.15541607664336e-05,0.009568393844655099,0.03072777280207737
00009.csv,Current_measured,0.003440094182130574,0.0009572805949425833,0.030939951437301633,238.77277504811892
00009.csv,Temperature_measured,0.007066874295181145,0.00012856614771879823,0.01133870132417281,0.09008122934289507
00009.csv,Current_load,0.002965362456592578,0.0009663079387666458,0.031085494024812373,706.4084284282989
00009.csv,Voltage_load,0.007688809819527855,0.010449455074123202,0.1022225761469706,
00009.csv,Time,0.015657916791799512,0.008214733742428336,0.09063516835328511,
00011.csv,Voltage_measured,0.0009567072693808093,9.813087354053858e-05,0.009906102843224402,0.03190727562961091
00011.csv,Current_measured,0.00317595473282916,0.0007948748025321801,0.028193524124028556,125.65318819974411
